"URN","LA (code)","LA (name)","EstablishmentNumber","EstablishmentName","TypeOfEstablishment (code)","TypeOfEstablishment (name)","EstablishmentTypeGroup (code)","EstablishmentTypeGroup (name)","EstablishmentStatus (code)","EstablishmentStatus (name)","ReasonEstablishmentOpened (code)","ReasonEstablishmentOpened (name)","OpenDate","ReasonEstablishmentClosed (code)","ReasonEstablishmentClosed (name)","CloseDate","PhaseOfEducation (code)","PhaseOfEducation (name)","StatutoryLowAge","StatutoryHighAge","Boarders (code)","Boarders (name)","NurseryProvision (name)","OfficialSixthForm (code)","OfficialSixthForm (name)","Gender (code)","Gender (name)","ReligiousCharacter (code)","ReligiousCharacter (name)","ReligiousEthos (name)","Diocese (code)","Diocese (name)","AdmissionsPolicy (code)","AdmissionsPolicy (name)","SchoolCapacity","SpecialClasses (code)","SpecialClasses (name)","CensusDate","NumberOfPupils","NumberOfBoys","NumberOfGirls","PercentageFSM","TrustSchoolFlag (code)","TrustSchoolFlag (name)","Trusts (code)","Trusts (name)","SchoolSponsorFlag (name)","SchoolSponsors (name)","FederationFlag (name)","Federations (code)","Federations (name)","UKPRN","FEHEIdentifier","FurtherEducationType (name)","LastChangedDate","Street","Locality","Address3","Town","County (name)","Postcode","SchoolWebsite","TelephoneNum","HeadTitle (name)","HeadFirstName","HeadLastName","HeadPreferredJobTitle","BSOInspectorateName (name)","InspectorateReport","DateOfLastInspectionVisit","NextInspectionVisit","TeenMoth (name)","TeenMothPlaces","CCF (name)","SENPRU (name)","EBD (name)","PlacesPRU","FTProv (name)","EdByOther (name)","Section41Approved (name)","SEN1 (name)","SEN2 (name)","SEN3 (name)","SEN4 (name)","SEN5 (name)","SEN6 (name)","SEN7 (name)","SEN8 (name)","SEN9 (name)","SEN10 (name)","SEN11 (name)","SEN12 (name)","SEN13 (name)","TypeOfResourcedProvision (name)","ResourcedProvisionOnRoll","ResourcedProvisionCapacity","SenUnitOnRoll","SenUnitCapacity","GOR (code)","GOR (name)","DistrictAdministrative (code)","DistrictAdministrative (name)","AdministrativeWard (code)","AdministrativeWard (name)","ParliamentaryConstituency (code)","ParliamentaryConstituency (name)","UrbanRural (code)","UrbanRural (name)","GSSLACode (name)","Easting","Northing","MSOA (name)","LSOA (name)","InspectorateName (name)","SENStat","SENNoStat","BoardingEstablishment (name)","PropsName","PreviousLA (code)","PreviousLA (name)","PreviousEstablishmentNumber","Country (name)","UPRN","SiteName","QABName (code)","QABName (name)","EstablishmentAccredited (code)","EstablishmentAccredited (name)","QABReport","CHNumber","MSOA (code)","LSOA (code)","FSM","AccreditationExpiryDate"
100000,"201","City of London","3614","The Aldgate School","02","Voluntary aided school","4","Local authority maintained schools","1","Open","00","Not applicable","","00","Not applicable","","2","Primary",3,11,"1","No boarders","Has Nursery Classes","2","Does not have a sixth form","3","Mixed","02","Church of England","Does not apply","CE23","Diocese of London","0","Not applicable",245,"2","No Special Classes","16-01-2025","249","137","112","23.30","0","Not applicable","","","Not applicable","","Not under a federation","","",10079319,"","Not applicable","14-01-2026","St James's Passage","Duke's Place","","London","","EC3A 5DE","www.thealdgateschool.org","02072831147","Miss","Alexandra","Allan","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","H","London","E09000001","City of London","E05009308","Portsoken","E14001172","Cities of London and Westminster","UN1","Urban: Nearer to a major town or city","E09000001",533498,181201,"City of London 001","City of London 001F","","","","","","999","","","","200000071925","","0","Not applicable","0","Not applicable","","","E02000001","E01032739","58",""
100004,"202","Camden","1045","Sherborne Nursery School","15","Local authority nursery school","4","Local authority maintained schools","2","Closed","00","Not applicable","","00","Not applicable","31-08-1992","1","Nursery",3,5,"1","No boarders","Not applicable","0","Not applicable","3","Mixed","00","Does not apply","Does not apply","0000","Not applicable","0","Not applicable","","0","Not applicable","","","","","","0","Not applicable","","","Not applicable","","Not under a federation","","","","","Not applicable","24-09-2015","Priestly House","Athlone Street","","London","","NW5 4LP","","","","","","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","H","London","E09000007","Camden","E05000136","Haverstock","E14000750","Holborn and St Pancras","A1","(England/Wales) Urban major conurbation","E09000007",528515,184869,"Camden 007","Camden 007D","","","","","","999","","","","200163898","","0","Not applicable","0","Not applicable","","","E02000172","E01000901","",""
